AMBIENT	3eef0:9d0	14.72	NEW_SOFTFP	r0 = L16[r1]*L16[r2] (6x mul_r16 partial products, adc chains); r3 = r0 and#0x8000; r0 = shrd#5 / shl#3 renormalise; S16[r4] = r0
AMBIENT	7a520:7d	10.50	REFILL	r0 = r0 shl#1; r1 -= 1; if r1==0 { r0 = L16[r2]; r2 += 2; r1 = i }; if !cf { S8[r3]=L8[r4]; r4+=1; r3+=1 } else { r5 = L8[r4]; rep_movsb(r3, r3-r6, r5) }
AMBIENT	178e0:2df	9.87	OTHER	r0 -= 1; r1 = sbb(r1,0); if borrow exit; cmp L8[m],#0; jz — spin-wait on a memory flag with a 32-bit timeout
ANTARES	1000:2472	99.21	IO_POLL	int 21h AH=8 keyboard poll; cmp+jcc chain on the returned byte; loop  # note: ANTARES has exactly one hot loop and it is pure keyboard polling — no arithmetic at all.
ANTARES	-	0	IO_POLL	(rank 2/3 are the same poll body; no second distinct loop exists)
ANTARES	-	0	IO_POLL	(no third distinct loop)
BTHERE	23ee0:2c6	50.56	OTHER	r0 -= 1; r1 = sbb(r1,0); jb exit; cmp L8[m],#0; jz — spin-wait with 32-bit timeout
BTHERE	270e0:5c5	28.24	NEW_X87_FN	fxam / fprem / fptan / fsqrt / fnstsw+sahf loop — x87 transcendental argument reduction
BTHERE	1a0c0:15d	8.28	NEW_X87_FN	fld_i32(r0); fmul L80[m]; fdiv L32[m]; fstp — x87 table generator
EOD	1000:1aff	77.83	MEMCOPY	r1 = movzx L16[m] shl#3 + i; loop8 { S8[r0] = L8[r1]; r1 += 1; r0 += 0x50 }
EOD	1000:1ae7	15.20	CALL_GLUE	push args; call far; pop — per-glyph dispatch
EOD	1000:1b37	3.55	MEMCOPY	rep_movsb(r0, r1, 0x4f); r0 += i; r1 += i
EXPRESS	f100:4388	90.90	IO_POLL	out_8(0x43,i); out_16(0x42,r0); out_8(0x44,i); out_16(r1); r2 += i; loop — sample-player port banging  # note: EXPRESS is 91% port I/O; its arithmetic is a rounding error.
EXPRESS	f100:3fbc	1.84	FIXPT_STEP	r0 += L16[r1]; r3 = L8[r0 + 1]; S8[r4] = r3; r4 += 1 — 8.8 accumulator, integer byte read at +1
EXPRESS	f100:43c3	1.40	MEMFILL	rep_stosw(r0, i)
ACIDRAIN	1100:93	62.37	CALL_GLUE	push x; push y; push c; call near putpixel; add sp,i — one call per pixel
ACIDRAIN	1100:0	35.12	ADDR_SCALE	r1 = imul(L16[r2+6], 0x140) add L16[r2+8]; S8[0xa000:r1] = L8[r2+4]
ACIDRAIN	-	0	OTHER	(no third loop above 1%)
ACME-VIC	d100:14c3	25.20	MEMFILL	r0 = i(0xff); xchg S8[r1], r0; r1 += 1; r2 -= 1; jnz
ACME-VIC	21d30:80	18.32	REFILL	bit-serial depack: r0 shl#1; r1 -= 1; jz reload L16[r2]; jae literal movsb else lodsb len + rep_movsb back-copy
ACME-VIC	d100:c4b	15.89	NEW_VEC_IMM	r0 = L16[r1]; r0 = r0 add L16[r2]; S16[r3] = r0; r1+=2; r2+=2; loop — vector add of two word arrays
ACME-BIG	63a00:80	64.04	REFILL	same LZEXE bit-serial depacker (bitbuf shl#1, counter, literal xor-store at :7c, rep_movsb back-copy at :f4)
ACME-BIG	66112d:11781	14.96	NEW_VEC_IMM	r0 = L16[r1]; r0 add L16[r2]; S16[r3] = r0; stride 2
ACME-BIG	66112d:117a1	14.96	IO_POLL	r0 = L16[r1]; out_8(0x3c9, ...) palette blast
ACME-SUX	173d0:80	89.09	REFILL	same LZEXE depacker  # note: ACME-SUX is one loop — a depacker. Nothing else runs.
ACME-SUX	173d0:16d	1.14	OTHER	r0 = L8[r1]; r2 = add(r2,r0); r2 = adc(r2,0); loop — additive checksum
ACME-SUX	-	0	OTHER	(no third loop above 1%)
ACME-SYW	8064d:adac	22.80	PERSP_DIV	r0 = div_r32(r1:r2, r3); r4 = (r0 + 0x80) shl#1 and#0xff80; r5 = L8[r6] shl#1 and#0x7f; S16[r7] = r4 or r5; r7 += 2; r2 += 0x8000
ACME-SYW	8064d:af30	20.71	PERSP_DIV	shld#16(r0,r1); r1 = r1 shl#16; r0 = div(r0:r1, r2); r0 = r0 shr#2; r3 = movzx L8[tbl + r0] — atan2 via divide + table
ACME-SYW	8064d:af0c	16.23	NEW_ISQRT	r1 = 0; r0 = div(r0:r1, r2); r0 = r0 add r2; r0 = r0 shr#1; cmp; jnz — Newton integer sqrt
