app	loop	share	class	family	tree
gta2-gameplay	gta2+0x004d7660	2.53	ARITH	ADDR_SCALE	ld32(add(ld32(this+0x32c), add(mul(and(arg,0xffff),4),4))) ; ret 4 ; indexed getter, element pointer out of a member table with a 16-bit index; called once per iteration from 0x004d71d6
gta2-gameplay	gta2+0x004ef949	2.21	MEM	STRSEARCH	i=sub(i,1); p=sub(p,8); cmp(i,0)>=0 -> loop ; step arm of a stride-8 backward linear scan; pairs with the compare arm at 0x004ef940 (one loop split over two ranked blocks)
gta2-gameplay	gta2+0x004ef984	2.16	MEM	STRSEARCH	i=sub(i,1); p=sub(p,8); cmp(i,0)>=0 -> loop ; same stride-8 scan, second inlined copy; pairs with 0x004ef97b
gta2-gameplay	gta2+0x004ef8cf	2.12	MEM	STRSEARCH	i=sub(i,1); p=sub(p,8); cmp(i,0)>=0 -> loop ; same stride-8 scan, third inlined copy; pairs with 0x004ef8c6
gta2-gameplay	gta2+0x004ef90a	2.09	MEM	STRSEARCH	i=sub(i,1); p=sub(p,8); cmp(i,0)>=0 -> loop ; same stride-8 scan, fourth inlined copy; pairs with 0x004ef901
gta2-gameplay	unmapped+0x00966aec	2.05	OTHER	CALL_GLUE	unmapped: no module section covers this address, body not disassembled; 1-op block entered 1.27M times, i.e. a thunk-zone landing (emulator API/COM dispatch stub), not guest code
gta2-gameplay	unmapped+0x00966b8c	2.05	OTHER	CALL_GLUE	unmapped: no module section covers this address, body not disassembled; 1-op thunk-zone landing, 1.27M entries, same rate as 0x00966aec
gta2-gameplay	unmapped+0x00966ad9	2.05	OTHER	CALL_GLUE	unmapped: no module section covers this address, body not disassembled; 1-op thunk-zone landing, 1.27M entries, same rate as the other two
gta2-gameplay	gta2+0x004e30a0	1.80	OTHER	X87+ADDR_SCALE	p=add(0x6e6a90, shl(add(sar(sub(arg,0x6e6a90),5),4),5)); stf32(p+0x00, mul(cvt(add(ld32(ld32(g)+0x98),x)),K)); stf32(p+0x04, mul(cvt(y),K)); stf32(p+0x08, mul(cvt(add(ld32(ld32(g)+0x9c),z)),K)) ; int->float vertex scale, three floats into a 32-byte-stride array, slot index recovered by dividing the caller's pointer by the stride
gta2-gameplay	gta2+0x004d71e5	1.55	OTHER	CMP_SKIP	a=ld8(this+0x36a); b=ld8(this+0x36b); spill a,b to esp; cmp(a, ld8(elem+1)) <u -> skip ; per-element byte compare in the 0x004d71d6..0x004d724a table walk, both operands re-spilled every iteration
gta2-gameplay	gta2+0x004ef940	1.11	MEM	STRSEARCH	cmp(ld32(p), key) != 0 -> step ; compare arm of the stride-8 scan; pairs with 0x004ef949
gta2-gameplay	gta2+0x005de92a	1.10	ARITH	FIXPT_MUL+FIELD_REPACK(SHRD64)	lo=shrd(lo,hi,c); hi=sar(hi,c) ; CRT __allshr tail for c<32, reached from the 18.14 fixed-point multiply at 0x004084a0 with c=14
gta2-gameplay	gta2+0x004ef97b	1.09	MEM	STRSEARCH	cmp(ld32(p), key) != 0 -> step ; compare arm, second copy; pairs with 0x004ef984
gta2-gameplay	gta2+0x004ef8c6	1.06	MEM	STRSEARCH	cmp(ld32(p), key) != 0 -> step ; compare arm, third copy; pairs with 0x004ef8cf
gta2-gameplay	gta2+0x004ef901	1.05	MEM	STRSEARCH	cmp(ld32(p), key) != 0 -> step ; compare arm, fourth copy; pairs with 0x004ef90a
gta2-gameplay	gta2+0x005de950	1.01	OTHER	CMP_SKIP	or(hi(a),hi(b)) != 0 -> slow path ; CRT __allmul entry test
gta2-gameplay	gta2+0x004d724a	0.96	OTHER	COUNTER	i=add(ld16(this+0x364),1); st16(this+0x364,i); cmp(i, ld16(ld32(this+0x32c))) <u -> loop ; induction variable lives in a struct member and the bound is reloaded from a table header every iteration
gta2-gameplay	gta2+0x004ef460	0.91	OTHER	CALL_GLUE	push ld32(g1); push ld32(ld32(argA)); push ld32(ld32(argB)); ecx=ld32(g2); call ; prologue only, no arithmetic
gta2-gameplay	gta2+0x004d6fdf	0.87	OTHER	CMP_SKIP	cmp(ld8(elem), ld8(this+0x368)) != 0 -> skip ; per-element byte compare in the 0x004d6fd0..0x004d7050 walk, sibling of 0x004d71e5
gta2-gameplay	gta2+0x004d7050	0.87	OTHER	COUNTER	i=add(ld16(this+0x364),1); st16(this+0x364,i); cmp(i, ld16(ld32(this+0x32c))) <u -> loop ; same member-resident counter as 0x004d724a, second copy
gta2-gameplay	gta2+0x005c9eec	0.78	OTHER	X87	acc1=add(acc1,ld32(esp+0x4c)); acc2=add(acc2,ld32(esp+0x34)); stf32(g+0x00,mul(cvt(acc1),K)); stf32(g+0x04,mul(cvt(acc2),K)); stf32(g+0x20,mul(cvt(acc1'),K)); st32(g+0x08,0x38d1b717) x4 ; vertex-buffer fill, one 0x20-stride record per vertex, the rhw/w slots written as a literal float constant rather than computed
