app	loop	share	class	family	tree
gta2-loading	gta2+0x00419cf6	58.29	MEM	MEMFILL(STRIDE)	k=add(shl(ld8(this+0x98),4), and(i,0xff)); st8(add(this, add(mul(k,104),0xc8)), 0); st8(add(this, add(mul(and(i,0xff),104),0xdec)), 0); i=inc8(i); cmp(i, ld8(this+0x10)) <u -> loop ; clears one flag byte in each of two 104-byte-stride record arrays, the *13 done as two lea's; this single loop is 58% of the whole window
gta2-loading	gta2+0x005deb40	6.62	OTHER	FTOL	fnstcw cw; fldcw or(cw,0x0c00); fistp16; fldcw cw ; CRT ftol helper, called out of every x87 expression in the loader
gta2-loading	gta2+0x005c9fcc	6.09	OTHER	X87+CALL_GLUE	mul(cvt(ld32(esp+0x24)),K); mul(cvt(0xff),K); fstp into g+0x18/0x1c/0x38/0x3c/0x58/0x5c/0x78/0x7c; push x3; call [iat] ; identical block to gta2-gameplay rank 23, the 4-vertex colour/texcoord fill
gta2-loading	gta2+0x004aa070	3.64	ARITH	ADDR_SCALE+CALL_GLUE	p=add(this, add(mul(sub(shl(n,6),n),16),n)*2 + 0x122) where n=ld16(this+0x11e) ; i.e. stride 2018 = 2*1009 record address, computed by shift/sub/shift/add, then prologue spills it and calls
gta2-loading	gta2+0x005de950	1.84	OTHER	CMP_SKIP	or(hi(a),hi(b)) != 0 -> slow path ; CRT __allmul entry test
gta2-loading	gta2+0x00411c5d	1.71	OTHER	CALL_GLUE	pop x3; ret 4 ; epilogue only
gta2-loading	gta2+0x005ca062	1.69	OTHER	COUNTER	reload 5 esp slots; p=add(p,2); st(esp,p); cmp(ld16(p),0) != 0 -> loop ; latch of the 0x005c9d66 polygon loop with every live value spilled to the frame
gta2-loading	gta2+0x004ab698	1.29	ARITH	FIELD_REPACK	st8(this+0x6f9f, a); st8(this+0x6f98, 0); and(ld8(this+0xd8),0x80) == 0 -> skip ; sign bit of a member byte extracted into a parallel flag array, one unrolled copy per field
gta2-loading	gta2+0x004ab6bf	1.29	ARITH	FIELD_REPACK	st8(this+0x6fa0, a); st8(this+0x6f99, 0); and(ld8(this+0xd3),0x80) == 0 -> skip ; same extraction, next field
gta2-loading	gta2+0x004ab731	1.29	ARITH	FIELD_REPACK	st8(this+0x6fa1, a); st8(this+0x6f9a, 0); and(ld8(this+0x09),0x80) == 0 -> skip ; same extraction, next field
gta2-loading	gta2+0x005de92a	1.14	ARITH	FIXPT_MUL+FIELD_REPACK(SHRD64)	lo=shrd(lo,hi,c); hi=sar(hi,c) ; CRT __allshr tail for c<32
gta2-loading	gta2+0x005de960	1.11	ARITH	FIXPT_MUL(MUL64)	mul64(ld32(esp+0x4), c) ; CRT __allmul fast path taken when both high dwords are zero
gta2-loading	gta2+0x0041aa00	1.07	OTHER	CMP_SKIP	cmp(ld8(this+0x10),0) <=u -> skip ; entry guard of the 0x00419cf6 clear loop, so it fires once per call of that loop
gta2-loading	gta2+0x0041aa2e	1.07	MEM	MEMFILL	st8(add(this, add(ld8(this+0x98),0xdbc)), 0); ret ; scalar tail of the same clear, one byte
gta2-loading	gta2+0x005df3ae	1.01	OTHER	CMP_SKIP	cmp(ld32(p),0) == 0 -> skip ; CRT _initterm function-pointer table walk, null-slot test
gta2-loading	gta2+0x005df3b6	1.01	OTHER	COUNTER	p=add(p,4); cmp(p,end) <u -> loop ; latch of the same _initterm walk
gta2-loading	gta2+0x005de920	0.76	OTHER	CMP_SKIP	cmp(c,0x40) >=u -> overshift path ; CRT __allshr entry dispatch
gta2-loading	gta2+0x005de925	0.76	OTHER	CMP_SKIP	cmp(c,0x20) >=u -> 32..63 path ; CRT __allshr second dispatch step
gta2-loading	gta2+0x004aa1dd	0.64	OTHER	CMP_SKIP	cmp(ld8(this+0x6f98),0) == 0 -> skip ; reads back the flag byte the 0x004ab698 group wrote
gta2-loading	gta2+0x005df3b4	0.34	OTHER	CALL_GLUE	call reg ; indirect call per slot of the _initterm table
gta2-loading	unmapped+0x00967d34	0.28	OTHER	CALL_GLUE	unmapped: no module section covers this address, body not disassembled; 1-op thunk-zone landing (emulator API dispatch stub)
gta2-loading	gta2+0x005c9c90	0.25	OTHER	CALL_GLUE	sub esp,0x18; push x6 (two of them reloaded from the caller frame); call ; prologue only
gta2-loading	gta2+0x005e27f3	0.25	MEM	STRSEARCH	p=add(p,1); cmp(ld8(base+p+1),0) == 0 -> loop ; forward byte scan to the first non-zero element
gta2-loading	gta2+0x00405275	0.22	OTHER	X87	fptan(mul(mul(cvt(ld32(esp+0x8)),K1),K2)); mul(that,K3); call ftol ; scaled tangent, result immediately converted back to int
gta2-loading	gta2+0x004ab672	0.21	OTHER	CALL_GLUE	call imm ; single-op block, call only
diablo-loading	storm+0x1501d0b5	18.11	STREAM	RLE_TOKEN	i=add(ld32(esp+0x18),1); st(esp+0x18,i); st(esp+0x14,0); x=xor(x,x); setnz(cmp(ld8(p), key)); cmp(that, prev) != 0 -> branch ; colour-key run scanner, every temp spilled to the frame; same block the earlier doc read at 7.27%
diablo-loading	storm+0x1501d154	6.04	OTHER	COUNTER	n=ld32(esp+0x20); st(esp+0x20, sub(n,1)); cmp(n,0) != 0 -> loop ; outer row counter of the key scanner, decrement written back to the frame
diablo-loading	storm+0x15001f38	4.79	STREAM	MEMFILL	st8(dst,al); dst=add(dst,1); n=sub(n,1); m=sub(m,1); cmp(n,0) != 0 -> loop ; byte fill with two independent counters
diablo-loading	storm+0x1501cfc0	4.74	STREAM	RLE_TOKEN	cmp(ld8(src), ld8(esp+0x4c)) == 0 -> run arm ; key-byte test, the key itself reloaded from the frame every iteration
diablo-loading	storm+0x1501cff4	4.74	OTHER	COUNTER	src=add(src,1); i=add(i,1); cmp(i, ld32(esp+0x1c)) < -> loop ; latch of that scan, bound reloaded from the frame
diablo-loading	storm+0x1501d11c	3.62	OTHER	CMP_SKIP	cmp(ld32(esp+0x14),0) != 0 -> branch ; spilled-flag test in the same key scanner
diablo-loading	storm+0x1501d12e	3.56	OTHER	CMP_SKIP	cmp(ld32(esp+0x20),0) != 0 -> branch ; second spilled-flag test in the same scanner
diablo-loading	storm+0x1501d124	2.37	STREAM	RLE_TOKEN	cmp(c,0xff) == 0 -> emit ; 0xff colour-key compare, first operand
diablo-loading	storm+0x1501d129	2.37	STREAM	RLE_TOKEN	cmp(c2,0xff) == 0 -> emit ; 0xff colour-key compare, second operand
diablo-loading	storm+0x1501d0ec	2.29	OTHER	CMP_SKIP	cmp(f,0) == 0 -> skip ; register flag test inside the key scanner
diablo-loading	storm+0x1502c8a8	2.19	STREAM	REFILL+GETBITS	pos=ld32(pp); b=ld8(base+pos+0x2234); st32(pp, add(pos,1)); acc=or(shl(b,8), ld32(s+0x14)); c=sub(n_req, ld32(s+0x18)); st32(s+0x14, acc); st32(s+0x18, add(sub(ld32(s+0x18),n_req),8)); st32(s+0x14, shr(acc,c)) ; Huffman/PKWARE bit-buffer refill: pull one byte from the stream, shift it into the accumulator, drop the consumed bits, update the bit count
diablo-loading	storm+0x1501cfca	1.91	OTHER	COUNTER	k=add(ld32(esp+0x10),1); st(esp+0x10,k); cmp(flag,0) == 0 -> skip ; run-length accumulator kept in the frame
diablo-loading	storm+0x1501cfec	1.91	OTHER	COUNTER	st32(esp+0x24,1); src=add(src,1); i=add(i,1); cmp(i, ld32(esp+0x1c)) < -> loop ; sets the spilled "seen" flag then falls straight into the 0x1501cff4 latch, so the two blocks are the same loop tail read twice
diablo-loading	storm+0x1502c850	1.73	STREAM	GETBITS	cmp(ld32(s+0x18), n) <u -> refill ; entry guard of the bit reader: does the accumulator already hold n bits?
diablo-loading	storm+0x15001f34	1.60	STREAM	MEMFILL	cmp(m,0) == 0 -> exit ; head/guard of the 0x15001f38 byte fill, second counter tested first
diablo-loading	storm+0x1501d0f4	1.53	OTHER	COUNTER	c=inc8(c); jmp ; one-byte run-length increment arm of the key scanner
diablo-loading	storm+0x15007bba	1.52	OTHER	IO_POLL	n=ld32(node+0x10); cmp(sub(now,n), ld32(node+0x8)) <u -> skip ; storm timer-list walk in the idle pump, same block the earlier doc read at 16.02%
diablo-loading	storm+0x1501cbad	1.31	STREAM	MEMCOPY	st32(dst, ld32(src)); src=add(src,4); dst=add(dst,4); n=dec8(n); cmp(n,0) != 0 -> loop ; dword literal run copy
diablo-loading	storm+0x1501cfda	1.14	OTHER	CMP_SKIP	cmp(ld32(p), i) <= -> skip ; low-bound range test on the current run
diablo-loading	storm+0x1501cfe2	1.14	OTHER	CMP_SKIP	cmp(ld32(p+0x8), i) >= -> skip ; high-bound range test on the same run
diablo-loading	storm+0x1502c85e	1.01	STREAM	GETBITS	st32(s+0x18, sub(ld32(s+0x18), n)); st32(s+0x14, shr(ld32(s+0x14), n)) ; consume n bits, fast path taken when the accumulator already held them
diablo-loading	storm+0x1502c598	1.01	MEM	MEMCOPY	st8(dst,ld8(src)); src=add(src,1); dst=add(dst,1); n=sub(ld32(esp+0x10),1); cmp(n,0) != 0 -> loop ; byte copy with the count kept in the frame
diablo-loading	storm+0x1501cfd7	0.95	STREAM	RLE_TOKEN	st8(dst, c); dst=add(dst,1); cmp(ld32(p), i) <= -> skip ; emit one byte of the keyed run, then fall into the range tests at 0x1501cfda
diablo-loading	storm+0x1501d0f0	0.76	OTHER	COUNTER	c2=inc8(c2); jmp ; second one-byte run-length increment arm
diablo-loading	storm+0x15007bf7	0.76	OTHER	IO_POLL	node=ld32(node+0x14); cmp(node,0) != 0 -> loop ; latch of the same storm timer-list walk
rct-loading	RCT+0x008fb941	3.46	STREAM	RLE_TOKEN	t=L16[p]; st8(g_flag,and(t,0xff)); p=add(p,2); n=and(t,0x7f); x=shr(t,8); src=p; p=add(p,n); dst=row; cmp(sub(x,L32[g_clipleft]),0) ; sprite RLE header: low byte = run length plus a continuation bit parked in a global, high byte = x skip, then a left-clip test
rct-loading	RCT+0x00436465	2.53	MEM	MEMFILL+FIELD_REPACK	st32(g_k,0xffff) x11; st16(g,0); st8(g,0xff) x3; st16(g,v) x4; h=ror(or(rol(y,7),x),5); p=L32[tbl+h*4]; jmp L32[jmptbl+L32[g]*4] ; per-frame reset of the tool/cursor globals, then the same tile-coordinate hash and a computed jump
rct-loading	RCT+0x0042f5aa	2.11	MEM	MEMFILL	st8(p,c); p=add(p,1); ecx-- ; byte fill driven by the x86 LOOP instruction
rct-loading	RCT+0x0042f5b0	2.11	OTHER	IO_POLL	t=L8[g]; test8(t,t) ; global flag poll in the timer/mouse service routine
rct-loading	RCT+0x008fb796	2.08	ARITH	LUT_XLAT(CK)	v=L8[src]; src=add(src,1); v=L8[tbl+v]; test8(v,v) -> zero skips the st8(dst,v) that follows ; colour-keyed palette-remap blit, unrolled copy 1 of 4
rct-loading	RCT+0x008fb7a7	2.07	ARITH	LUT_XLAT(CK)	v=L8[src]; src=add(src,1); v=L8[tbl+v]; test8(v,v) ; same keyed LUT blit, unrolled copy 2 of 4
rct-loading	RCT+0x008fb7b8	2.04	ARITH	LUT_XLAT(CK)	v=L8[src]; src=add(src,1); v=L8[tbl+v]; test8(v,v) ; same keyed LUT blit, unrolled copy 3 of 4
rct-loading	RCT+0x008fb7c9	1.96	ARITH	LUT_XLAT(CK)	v=L8[src]; src=add(src,1); v=L8[tbl+v]; test8(v,v) ; same keyed LUT blit, unrolled copy 4 of 4
rct-loading	RCT+0x0042f5d9	1.88	OTHER	COUNTER	st8(g,sub(L8[g],1)); r=L8[g2]; ret ; countdown in a global then return, tail of the timer service
rct-loading	RCT+0x0044439a	1.55	ARITH	ADDR_SCALE+FIELD_REPACK	idx=or(shl(and(x,0xfe0),2),shr16(y,5)); v=L16[0x8d8fce+idx*2]; cmp16(v,0xffff) ; tile x/y quantised to a 32-pixel grid and packed into one subscript into the map row table
rct-loading	RCT+0x004339dd	1.38	ARITH	FIELD_REPACK+LUT_XLAT	m=L32[g]; six x {cmp(field_i,L16[fp+d_i]); rcl(m,1)} -> six comparison results packed into the low bits of m; cmp8(L8[m+0x59f90c],0) ; bounding-box compares turned into a 6-bit case index and used as a table subscript
