app	loop	share	class	family	tree
quake2	ref_soft+0x1000583e	10.33	STREAM	RLE_TOKEN+MEMFILL	run=and(ld8(tok),0xc0)==0xc0 ? rep_stosd(pack32(dup8(al)),n>>2)+rep_stosb(n&3) : store8 ; PCX/WAL run-length expand
quake2	ref_soft+0x1000580c	3.76	STREAM	RLE_TOKEN	tok=ld8(p++); and(tok,0xc0)==0xc0 -> run header else literal
quake2	ref_soft+0x10005832	2.06	STREAM	RLE_TOKEN	literal arm: n=1; counter setup
quake2	ref_soft+0x10005837	1.88	STREAM	RLE_TOKEN	literal arm tail
quake2	quake2+0x004262c1	3.51	ARITH	FIXPT_STEP	acc+=step; v=sar(acc,8) (8.8 interpolator, 2-way switch on mode)
quake2	quake2+0x00426313	4.01	ARITH	FIXPT_STEP	st8(base+idx+0x14, sar(acc,8)); acc2+=step2; idx++ ; cmp/jl
quake2	quake2+0x004262d5	2.00	OTHER	CALL_GLUE	ld16(tbl+idx*2) -> push -> call thunk
quake2	quake2+0x004262fe	2.00	OTHER	CMP_SKIP	cmp ld32(p+0xc),2
quake2	quake2+0x00423230	1.55	OTHER	CALL_GLUE	forwarder to imported fn
quake2	quake2+0x004262e3	1.50	ARITH	FIELD_REPACK	movsx16 of returned value
quake2	quake2+0x0042323b	1.03	OTHER	CALL_GLUE	epilogue
quake2	quake2+0x00423290	1.03	OTHER	CALL_GLUE	ld16(esp+4); ret
quake2	ref_soft+0x10005a0f	2.71	ARITH	LUT_XLAT	st8(ld32(obj+0x54)+i-1, al) colour-keyed pic store
quake2	ref_soft+0x10005a00	2.17	STREAM	RLE_TOKEN	v=ld8(src+i); v==0xff ? skip : emit (colour key)
quake2	quake2+0x0041a26d	2.39	ARITH	BYTE_PACK	or(shl(or(shl(or(ld8(p+1),ld8(p-1)),8),ld8(p)),8),ld8(p-6)) -> st32 ; 24bpp->32bpp repack
quake2	ref_soft+0x10011fdc	1.01	ARITH	CARRY_STRIDE+TEXEL_FETCH	edx+=dsfrac; sbb c,c; esi+=tbl[c*4]; ebx+=dtfrac; al=ld8(esi); st8(dst+k,al) x16 (D_DrawSpans8 unrolled)
quake2	ref_soft+0x10011e94	1.01	ARITH	CARRY_STRIDE+TEXEL_FETCH	same span loop, head with shl 12 setup
quake2	ref_soft+0x10012000	0.95	ARITH	CARRY_STRIDE+TEXEL_FETCH	same span loop, tail with loop-back
quake2	ref_soft+0x10011fbc	0.62	ARITH	PERSP_DIV	fadd/fld/fdiv 1/z then span loop (x87 head of same nest)
quake2	ref_soft+0x10011c3b	0.76	ARITH	PERSP_DIV	x87 dot3 + fdivr for 1/z, then integer setup
quake2	quake2+0x00423564	0.80	OTHER	STRSEARCH	movsx8 a=[p++]; movsx8 b=[q++]; counter-- ; compare loop
quake2	quake2+0x00423520	0.73	OTHER	STRSEARCH	same, prologue
quake2	ref_soft+0x1000bb6a	0.59	ARITH	BLEND	dst=ld8(tbl + or(shl(ld8(dst),8),src)) ; 64K alpha blend LUT + DDA bookkeeping spilled to globals
quake2	ref_soft+0x10014590	0.46	OTHER	FTOL	fnstcw/or 0xc/fldcw/fistp/fldcw (ftol helper)
quake2	ref_soft+0x1001480c	0.46	OTHER	STACKPROBE	sub 0x1000; test [ecx],eax
mw3long	mech3demo+0x00526f54	48.85	ARITH	BLEND(SWAR)	x=(and(a,M)+and(b,M)+2*and(c,M))>>2 over two field masks, 16bpp 3-tap box filter, 4 taps per iteration
mw3long	mech3demo+0x00527075	44.25	ARITH	BLEND(SWAR)	same SWAR blend, neighbour-row variant
mw3long	mech3demo+0x00540638	0.44	OTHER	X87	fild/fmul/fsub/fadd timing update
mw3long	mech3demo+0x004f7aba	0.25	OTHER	CALL_GLUE	COM-ish vtable call per frame
mw3long	mech3demo+0x0046acb0	0.23	OTHER	CALL_GLUE	SEH frame + list walk
mw3long	rest	<0.2	OTHER	CALL_GLUE/X87	per-frame scaffolding, 20 distinct entries
diablo	storm+0x15007bba	16.02	OTHER	IO_POLL	n=ld32(node+0x10); cmp(ebx-n, ld32(node+8)) ; timer-list walk in the idle pump
diablo	storm+0x15007bf7	8.01	OTHER	IO_POLL	node=ld32(node+0x14); test/jnz ; same list walk
diablo	storm+0x15007b48	6.30	OTHER	CALL_GLUE	push x5; call [iat] (PeekMessage)
diablo	storm+0x15007c5f	3.60	OTHER	CALL_GLUE	call [iat]
diablo	storm+0x15007c35	3.46	OTHER	CMP_SKIP	cmp ld32(global), ld32(esp+0x14)
diablo	storm+0x15007c42	3.46	OTHER	CMP_SKIP	cmp ld32(global), ld32(esp+0x18)
diablo	storm+0x15007c18	2.70	OTHER	CALL_GLUE	lea/push/call [iat] (GetCursorPos)
diablo	storm+0x15007c23	2.70	OTHER	CMP_SKIP	test ld32(global)
diablo	storm+0x15007ba8	0.90	OTHER	CALL_GLUE	call [iat]
diablo	storm+0x15007b58	1.80	OTHER	CMP_SKIP	test eax
diablo	storm+0x15007c6f	1.80	OTHER	CMP_SKIP	test eax
diablo	storm+0x15007bfe	1.80	OTHER	CMP_SKIP	test edi
diablo	storm+0x1501d0b5	7.27	STREAM	RLE_TOKEN	i++; x^=x; setnz(ld8(p)!=key); cmp vs prev ; colour-key run scanner, every temp spilled to esp
diablo	storm+0x1501d154	2.42	OTHER	COUNTER	n=ld32(esp+0x20); n-1 store back; jnz
diablo	storm+0x1501cbad	2.35	STREAM	MEMCOPY	st32(dst, ld32(src)); src+=4; dst+=4; dec8 n; jnz (dword literal run)
diablo	storm+0x1501cbc0	1.27	STREAM	MEMCOPY	st8(dst++, ld8(src++)); dec8 n; jnz (byte literal run)
diablo	storm+0x1501cb66	0.98	STREAM	RLE_TOKEN	c=ld8(p); d=ld8(p+1); p+=2; test c ; two-byte token fetch
diablo	storm+0x15001f38	1.92	STREAM	MEMFILL	st8(dst++, al); n--; m--; jnz
diablo	storm+0x1501cfc0	1.90	STREAM	RLE_TOKEN	cmp ld8(src) vs key byte
diablo	storm+0x1501cff4	1.90	OTHER	COUNTER	src++; i++; cmp i, ld32(esp+0x1c)
diablo	storm+0x1501d11c/0x1501d12e/0x1501d0ec	3.80	OTHER	CMP_SKIP	spilled-flag tests in the same key scanner
diablo	storm+0x1501d124/0x1501d129	1.90	STREAM	RLE_TOKEN	cmp8 vs 0xff colour key, two operands
caesar3	c3+0x004a3ecf	15.57	ARITH	FIELD_REPACK	w=or(shl(and(v,0xffe0),1), and(v,0x1f)) -> st16 ; RGB555->RGB565 in place
caesar3	c3+0x004a3e70	7.00	ARITH	FIELD_REPACK	same repack, 0x7fe0 mask variant, with byte counter
caesar3	c3+0x004a3ec1	6.95	STREAM	RLE_TOKEN	v=ld16(p); v==0xf81f ? skip : repack (magenta colour key)
caesar3	c3+0x004a3ee3	4.35	OTHER	COUNTER	p+=2; n-=2
caesar3	c3+0x004a3ebc	3.48	OTHER	COUNTER	cmp n,0
caesar3	c3+0x004a3e6b	1.43	OTHER	COUNTER	cmp8 cl,0
caesar3	c3+0x0040f407	1.42	STREAM	RLE_TOKEN	v=ld16(src); v==0xf81f ? skip
caesar3	c3+0x0040f410	2.37	STREAM	MEMCOPY	st16(dst,v); src+=2; dst+=2; dec n
caesar3	c3+0x00417213	7.05	ARITH	ADDR_SCALE+MEMFILL	st32(shl(ld32(fp-8),7) + ld32(fp-0x10)*4 + base, 0) ; 2D array clear, both indices reloaded from stack
caesar3	c3+0x00417204	7.05	OTHER	COUNTER	i=ld32(fp-0x10); i+1; store back; cmp 5
caesar3	c3+0x0041720d	3.38	OTHER	COUNTER	cmp ld32(fp-0x10),5
caesar3	c3+0x004171cc	1.97	ARITH	ADDR_SCALE	st32(shl(ld32(fp-8),7)+base,0); cmp ld32(shl(...)+base2),0
caesar3	c3+0x004171eb	1.41	ARITH	ADDR_SCALE	st32(shl(i,7)+base,0); j=0
caesar3	c3+0x004171b9	1.41	OTHER	COUNTER	i++ spilled; cmp 0x46
caesar3	c3+0x004172cc	1.41	OTHER	COUNTER	i++ spilled; cmp 0x46
caesar3	c3+0x004172db	1.13	ARITH	ADDR_SCALE	cmp ld32(shl(i,7)+base),0
caesar3	c3+0x0049e9db	4.08	STREAM	MEMCOPY	st8(ld32(fp+0xc)+i, ld8(ld32(fp+8)+i)) ; byte memcpy with i spilled
caesar3	c3+0x0049e9ca	3.50	OTHER	COUNTER	i++ spilled; cmp ld32(fp+0x10)
caesar3	c3+0x0049e9d3	1.75	OTHER	COUNTER	cmp i, ld32(fp+0x10)
caesar3	c3+0x0040e39e	1.67	OTHER	COUNTER	i++; p+=0x14; cmp 0x33 (all spilled)
caesar3	c3+0x0040e373	1.04	OTHER	COUNTER	i++ spilled; cmp 0x33
caesar3	c3+0x0040e3b6	1.04	ARITH	ADDR_SCALE	cmp ld32(global), ld32(tbl+i*4)+ld32(fp-4)
caesar3	c3+0x004a7e77	1.40	OTHER	COUNTER	i++ spilled; cmp 0x2710
caesar3	c3+0x004a7e89	1.12	OTHER	COUNTER	p+=3 spilled
caesar3	c3+0x0040ef10	1.10	ARITH	ADDR_SCALE	st16(ld32(g)+2*x+y*ld32(g2), v) ; per-pixel setpixel fn, mul for the row stride
heroes2	H2DEMOW+0x00499937	8.59	ARITH	ADDR_SCALE+BYTE_PACK	st8(tbl+i*4+k, shl(movsx8(ld8(3*i+base+k)),2)) for k=0..2, st8(tbl+i*4+3,4) ; palette expand, i reloaded 8x
heroes2	H2DEMOW+0x00499927	1.07	OTHER	COUNTER	inc [fp-4]; cmp 0xf6
heroes2	MSS32+0x2000da61	7.53	OTHER	IO_POLL	v=ld32(ld32(g2)+ld32(g1)*4+0x56c); cmp esi ; voice-slot scan
heroes2	MSS32+0x2000dae8	6.28	OTHER	COUNTER	i=ld32(g1); i++; store; cmp ebx
heroes2	MSS32+0x2000b5c9	4.19	OTHER	COUNTER	n--; p+=0x8d4; both through globals
heroes2	MSS32+0x20001298	3.51	OTHER	IO_POLL	cmp ld32(shl(ld32(g),5)+ld32(g2)),2
heroes2	MSS32+0x20001316	3.51	OTHER	COUNTER	i++ through global; cmp ld32(g2)
heroes2	MSS32+0x2000e0d4	2.51	OTHER	COUNTER	n--; p+=0x72c; through globals
heroes2	MSS32+0x2000b453	1.57	OTHER	IO_POLL	cmp ld32(ld32(g)+8), edi
heroes2	MSS32+0x2000da7a	1.42	OTHER	IO_POLL	dec [p+0x66c]; reload slot; test
heroes2	MSS32+0x2000d9ee	1.26	OTHER	IO_POLL	cmp ld32(ld32(g)+8),4
heroes2	MSS32+0x200012ca	1.08	OTHER	CALL_GLUE	slot arithmetic then call [slot+4]
heroes2	H2DEMOW+0x004c7341	6.09	STREAM	RLE_TOKEN	p=ld32(g)+1 stored back; t=ld8(p-1); test t; jge ; sprite RLE token fetch through a global cursor
heroes2	H2DEMOW+0x004c7700	3.87	STREAM	MEMCOPY	rep movsd n>>2 ; rep movsb n&3 ; cursor advance through globals (literal run)
heroes2	H2DEMOW+0x004c735f	1.83	OTHER	CMP_SKIP	spill 3 globals; and n,0x3f; jz
heroes2	H2DEMOW+0x004c7651	1.81	OTHER	CMP_SKIP	spill 2 globals; test n
heroes2	H2DEMOW+0x004c766c	1.29	OTHER	ADDR_SCALE	edi=ebx+ebp; esi=ld32(g)
heroes2	H2DEMOW+0x004c7664	0.97	OTHER	CMP_SKIP	test ld32(esp+0x20)
heroes2	H2DEMOW+0x004c7728	0.92	OTHER	COUNTER	y++; dst+=stride ; all through globals
heroes2	H2DEMOW+0x004d3280	2.31	OTHER	CALL_GLUE	C++ method prologue, cmp ld32(p),4
heroes2	H2DEMOW+0x004d3298	1.54	OTHER	CALL_GLUE	epilogue
heroes2	H2DEMOW+0x004c53b6	1.63	OTHER	CALL_GLUE	virtual call [vtbl+8]
heroes2	H2DEMOW+0x004c53c5	1.09	OTHER	CALL_GLUE	spill result twice
heroes2	H2DEMOW+0x004c5408	1.09	OTHER	IO_POLL	p=ld32(p+8) ; linked list walk
heroes2	H2DEMOW+0x004c5a20	1.48	OTHER	CALL_GLUE	prologue; test ld16(p+0x16) bit
starcraft	smackw32+0x1000efad	4.51	STREAM	GETBITS(1)	n=and(shr(acc32,13),0xffff8); bit=and(mm0,1); mm0>>=1; cnt-- ; tree-walk one bit at a time
starcraft	smackw32+0x1000eecd	4.49	STREAM	GETBITS(1)	same, second Huffman tree
starcraft	smackw32+0x1000efc9	2.58	STREAM	GETBITS(1)	node=node+step; v=ld32(node); cmp16 vs marker
starcraft	smackw32+0x1000eee9	2.56	STREAM	GETBITS(1)	same
starcraft	smackw32+0x1000efc4	1.62	STREAM	GETBITS(1)	step=4; then the above
starcraft	smackw32+0x1000eee4	1.61	STREAM	GETBITS(1)	step=4; then the above
starcraft	smackw32+0x1000eea0	3.21	STREAM	TABLE_DECODE	idx=and(mm0,0xfff); e=ld32(tbl+idx*4); len=and(e,0x1f); mm0>>=len; cnt-=len; sym=ld32(ld32(g)+shr(e,8)) ; 12-bit peek decode
starcraft	smackw32+0x1000ef80	3.05	STREAM	TABLE_DECODE	same, second table
starcraft	smackw32+0x1000eda0	1.43	STREAM	TABLE_DECODE	same, 10-bit peek (0x3ff)
starcraft	smackw32+0x1000ef28	3.21	STREAM	REFILL+TABLE_DECODE	mm2=ld64(src); src+=4; mm2<<=(32-cnt); mm0|=mm2; cnt+=0x20 ; then TABLE_DECODE
