MOUSE_ACTIVATE_V1
VERSION -1073739260 0 0 0
DEFAULT hit/msg/result 1 513 1 0
DEFAULT hit/msg/result 1 516 1 0
DEFAULT hit/msg/result 1 161 1 0
DEFAULT hit/msg/result 2 513 3 0
DEFAULT hit/msg/result 2 516 1 0
DEFAULT hit/msg/result 2 161 1 0
DEFAULT hit/msg/result 3 513 1 0
DEFAULT hit/msg/result 3 516 1 0
DEFAULT hit/msg/result 3 161 1 0
DEFAULT hit/msg/result 8 513 1 0
DEFAULT hit/msg/result 8 516 1 0
DEFAULT hit/msg/result 8 161 1 0
DEFAULT hit/msg/result 9 513 1 0
DEFAULT hit/msg/result 9 516 1 0
DEFAULT hit/msg/result 9 161 1 0
QUERY hwnd/top/hit/msg 2 2 1 513
PARENT answer/result/queries 0 1 1 0
QUERY hwnd/top/hit/msg 2 2 1 513
PARENT answer/result/queries 1 1 1 0
QUERY hwnd/top/hit/msg 2 2 1 513
PARENT answer/result/queries 2 2 1 0
QUERY hwnd/top/hit/msg 2 2 1 513
PARENT answer/result/queries 3 3 1 0
QUERY hwnd/top/hit/msg 2 2 1 513
PARENT answer/result/queries 4 4 1 0
CASE answer/active -1 1 0 0
INJECT queries/active 0 1 0 0
PEEK1 got/msg/queries/active 1 513 0 1
PEEK2 got/msg/queries/active 1 513 0 1
QUERY hwnd/top/hit/msg 2 2 1 513
DISPATCH hwnd/msg/wp/active 1 6 0 1
DISPATCH hwnd/msg/wp/active 2 6 2 2
DISPATCH hwnd/msg/wp/active 1 8 588 2
DISPATCH hwnd/msg/wp/active 2 7 584 2
REMOVE got/msg/queries/active 1 513 1 2
DISPATCH hwnd/msg/wp/active 2 513 1 2
DISPATCH hwnd/msg/wp/active 2 514 0 2
POST got/msg/queries/active 1 513 0 1
DISPATCH hwnd/msg/wp/active 2 513 1 1
CASE answer/active 0 1 0 0
INJECT queries/active 0 1 0 0
PEEK1 got/msg/queries/active 1 513 0 1
PEEK2 got/msg/queries/active 1 513 0 1
QUERY hwnd/top/hit/msg 2 2 1 513
DISPATCH hwnd/msg/wp/active 1 6 0 1
DISPATCH hwnd/msg/wp/active 2 6 2 2
DISPATCH hwnd/msg/wp/active 1 8 588 2
DISPATCH hwnd/msg/wp/active 2 7 584 2
REMOVE got/msg/queries/active 1 513 1 2
DISPATCH hwnd/msg/wp/active 2 513 1 2
DISPATCH hwnd/msg/wp/active 2 514 0 2
POST got/msg/queries/active 1 513 0 1
DISPATCH hwnd/msg/wp/active 2 513 1 1
CASE answer/active 1 1 0 0
INJECT queries/active 0 1 0 0
PEEK1 got/msg/queries/active 1 513 0 1
PEEK2 got/msg/queries/active 1 513 0 1
QUERY hwnd/top/hit/msg 2 2 1 513
DISPATCH hwnd/msg/wp/active 1 6 0 1
DISPATCH hwnd/msg/wp/active 2 6 2 2
DISPATCH hwnd/msg/wp/active 1 8 588 2
DISPATCH hwnd/msg/wp/active 2 7 584 2
REMOVE got/msg/queries/active 1 513 1 2
DISPATCH hwnd/msg/wp/active 2 513 1 2
DISPATCH hwnd/msg/wp/active 2 514 0 2
POST got/msg/queries/active 1 513 0 1
DISPATCH hwnd/msg/wp/active 2 513 1 1
CASE answer/active 2 1 0 0
INJECT queries/active 0 1 0 0
PEEK1 got/msg/queries/active 1 513 0 1
PEEK2 got/msg/queries/active 1 513 0 1
QUERY hwnd/top/hit/msg 2 2 1 513
DISPATCH hwnd/msg/wp/active 1 6 0 1
DISPATCH hwnd/msg/wp/active 2 6 2 2
DISPATCH hwnd/msg/wp/active 1 8 588 2
DISPATCH hwnd/msg/wp/active 2 7 584 2
REMOVE got/msg/queries/active 0 0 1 2
