VERSION -1073739260 0 0 0
DLGC kind/before/focused/style 0 8224 8224 0
SPACE_DOWN kind/state/capture/clicks 0 44 1 0
SPACE_UP kind/state/capture/clicks 0 8 0 1
HIGHLIGHT kind/state/capture/clicks 0 12 0 0
MOUSE_DOWN kind/state/capture/clicks 0 108 1 0
MOUSE_OUT kind/state/capture/clicks 0 104 1 0
MOUSE_BACK kind/state/capture/clicks 0 108 1 0
CAPTURE_LOST kind/state/capture/clicks 0 8 0 0
ENTER kind/msg/state/clicks 0 256 8 0
ENTER kind/msg/state/clicks 0 243 40 0
LEAVE kind/msg/state/clicks 0 243 44 0
LEAVE kind/msg/state/clicks 0 256 44 0
SECOND_SPACE_DOWN kind/state/capture/clicks 0 44 1 0
ENTER kind/msg/state/clicks 0 8 44 0
ENTER kind/msg/state/clicks 0 243 44 0
LEAVE kind/msg/state/clicks 0 243 40 0
ENTER kind/msg/state/clicks 0 533 8 0
LEAVE kind/msg/state/clicks 0 533 8 0
CLICK kind/state/capture/count 0 8 0 1
LEAVE kind/msg/state/clicks 0 8 0 1
FOCUS_LOST kind/state/capture/clicks 0 0 0 1
FOCUS_CASE kind/mode 0 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 0 108 1 0
ENTER kind/msg/state/clicks 0 8 108 0
ENTER kind/msg/state/clicks 0 243 108 0
LEAVE kind/msg/state/clicks 0 243 104 0
ENTER kind/msg/state/clicks 0 533 8 0
LEAVE kind/msg/state/clicks 0 533 8 0
LEAVE kind/msg/state/clicks 0 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 0 0 0 0
FOCUS_CASE kind/mode 0 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 0 104 1 0
ENTER kind/msg/state/clicks 0 8 104 0
ENTER kind/msg/state/clicks 0 243 104 0
LEAVE kind/msg/state/clicks 0 243 104 0
ENTER kind/msg/state/clicks 0 533 8 0
LEAVE kind/msg/state/clicks 0 533 8 0
LEAVE kind/msg/state/clicks 0 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 0 0 0 0
FOCUS_CASE kind/mode 0 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 0 40 1 0
ENTER kind/msg/state/clicks 0 8 40 0
ENTER kind/msg/state/clicks 0 533 8 0
LEAVE kind/msg/state/clicks 0 533 8 0
LEAVE kind/msg/state/clicks 0 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 0 0 0 0
FOCUS_CASE kind/mode 0 3 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 0 12 0 0
ENTER kind/msg/state/clicks 0 8 12 0
ENTER kind/msg/state/clicks 0 243 12 0
LEAVE kind/msg/state/clicks 0 243 8 0
CLICK kind/state/capture/count 0 8 0 1
LEAVE kind/msg/state/clicks 0 8 0 1
FOCUS_CASE_AFTER kind/state/capture/clicks 0 0 0 1
DLGC kind/before/focused/style 1 8208 8208 1
SPACE_DOWN kind/state/capture/clicks 1 44 1 0
SPACE_UP kind/state/capture/clicks 1 8 0 1
HIGHLIGHT kind/state/capture/clicks 1 12 0 0
MOUSE_DOWN kind/state/capture/clicks 1 108 1 0
MOUSE_OUT kind/state/capture/clicks 1 104 1 0
MOUSE_BACK kind/state/capture/clicks 1 108 1 0
CAPTURE_LOST kind/state/capture/clicks 1 8 0 0
ENTER kind/msg/state/clicks 1 256 8 0
ENTER kind/msg/state/clicks 1 243 40 0
LEAVE kind/msg/state/clicks 1 243 44 0
LEAVE kind/msg/state/clicks 1 256 44 0
SECOND_SPACE_DOWN kind/state/capture/clicks 1 44 1 0
ENTER kind/msg/state/clicks 1 8 44 0
ENTER kind/msg/state/clicks 1 243 44 0
LEAVE kind/msg/state/clicks 1 243 40 0
ENTER kind/msg/state/clicks 1 533 8 0
LEAVE kind/msg/state/clicks 1 533 8 0
CLICK kind/state/capture/count 1 8 0 1
LEAVE kind/msg/state/clicks 1 8 0 1
FOCUS_LOST kind/state/capture/clicks 1 0 0 1
FOCUS_CASE kind/mode 1 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 1 108 1 0
ENTER kind/msg/state/clicks 1 8 108 0
ENTER kind/msg/state/clicks 1 243 108 0
LEAVE kind/msg/state/clicks 1 243 104 0
ENTER kind/msg/state/clicks 1 533 8 0
LEAVE kind/msg/state/clicks 1 533 8 0
LEAVE kind/msg/state/clicks 1 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 1 0 0 0
FOCUS_CASE kind/mode 1 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 1 104 1 0
ENTER kind/msg/state/clicks 1 8 104 0
ENTER kind/msg/state/clicks 1 243 104 0
LEAVE kind/msg/state/clicks 1 243 104 0
ENTER kind/msg/state/clicks 1 533 8 0
LEAVE kind/msg/state/clicks 1 533 8 0
LEAVE kind/msg/state/clicks 1 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 1 0 0 0
FOCUS_CASE kind/mode 1 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 1 40 1 0
ENTER kind/msg/state/clicks 1 8 40 0
ENTER kind/msg/state/clicks 1 533 8 0
LEAVE kind/msg/state/clicks 1 533 8 0
LEAVE kind/msg/state/clicks 1 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 1 0 0 0
FOCUS_CASE kind/mode 1 3 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 1 12 0 0
ENTER kind/msg/state/clicks 1 8 12 0
ENTER kind/msg/state/clicks 1 243 12 0
LEAVE kind/msg/state/clicks 1 243 8 0
CLICK kind/state/capture/count 1 8 0 1
LEAVE kind/msg/state/clicks 1 8 0 1
FOCUS_CASE_AFTER kind/state/capture/clicks 1 0 0 1
DLGC kind/before/focused/style 2 8192 8192 2
SPACE_DOWN kind/state/capture/clicks 2 44 1 0
SPACE_UP kind/state/capture/clicks 2 8 0 1
HIGHLIGHT kind/state/capture/clicks 2 12 0 0
MOUSE_DOWN kind/state/capture/clicks 2 108 1 0
MOUSE_OUT kind/state/capture/clicks 2 104 1 0
MOUSE_BACK kind/state/capture/clicks 2 108 1 0
CAPTURE_LOST kind/state/capture/clicks 2 8 0 0
ENTER kind/msg/state/clicks 2 256 8 0
ENTER kind/msg/state/clicks 2 243 40 0
LEAVE kind/msg/state/clicks 2 243 44 0
LEAVE kind/msg/state/clicks 2 256 44 0
SECOND_SPACE_DOWN kind/state/capture/clicks 2 44 1 0
ENTER kind/msg/state/clicks 2 8 44 0
ENTER kind/msg/state/clicks 2 243 44 0
LEAVE kind/msg/state/clicks 2 243 40 0
ENTER kind/msg/state/clicks 2 533 8 0
LEAVE kind/msg/state/clicks 2 533 8 0
CLICK kind/state/capture/count 2 8 0 1
LEAVE kind/msg/state/clicks 2 8 0 1
FOCUS_LOST kind/state/capture/clicks 2 0 0 1
FOCUS_CASE kind/mode 2 0 0 0
