VERSION -1073739260 0 0 0
DLGC kind/before/focused/style 0 8224 8224 0
SPACE_DOWN kind/state/capture/clicks 0 44 1 0
SPACE_UP kind/state/capture/clicks 0 8 0 1
DLGC kind/before/focused/style 1 8208 8208 1
SPACE_DOWN kind/state/capture/clicks 1 44 1 0
SPACE_UP kind/state/capture/clicks 1 8 0 1
DLGC kind/before/focused/style 2 8192 8192 2
SPACE_DOWN kind/state/capture/clicks 2 44 1 0
SPACE_UP kind/state/capture/clicks 2 8 0 1
DLGC kind/before/focused/style 3 8192 8192 3
SPACE_DOWN kind/state/capture/clicks 3 44 1 0
SPACE_UP kind/state/capture/clicks 3 9 0 1
DLGC kind/before/focused/style 4 8256 8256 4
SPACE_DOWN kind/state/capture/clicks 4 44 1 0
SPACE_UP kind/state/capture/clicks 4 8 0 1
DLGC kind/before/focused/style 5 8192 8192 5
SPACE_DOWN kind/state/capture/clicks 5 44 1 0
SPACE_UP kind/state/capture/clicks 5 8 0 1
DLGC kind/before/focused/style 6 8192 8192 6
SPACE_DOWN kind/state/capture/clicks 6 44 1 0
SPACE_UP kind/state/capture/clicks 6 9 0 1
DLGC kind/before/focused/style 7 256 256 7
SPACE_DOWN kind/state/capture/clicks 7 44 1 0
SPACE_UP kind/state/capture/clicks 7 8 0 1
DLGC kind/before/focused/style 8 8224 8224 0
SPACE_DOWN kind/state/capture/clicks 8 44 1 0
SPACE_UP kind/state/capture/clicks 8 8 0 1
DLGC kind/before/focused/style 9 8256 8256 9
SPACE_DOWN kind/state/capture/clicks 9 44 1 0
SPACE_UP kind/state/capture/clicks 9 9 0 1
DLGC kind/before/focused/style 10 8224 8224 10
SPACE_DOWN kind/state/capture/clicks 10 44 1 0
SPACE_UP kind/state/capture/clicks 10 8 0 1
DLGC kind/before/focused/style 11 8192 8192 11
SPACE_DOWN kind/state/capture/clicks 11 44 1 0
SPACE_UP kind/state/capture/clicks 11 8 0 1
BUTTON_INPUT_DONE 0 0 0 0
