# Native Win98 refocus sections; intervening baseline/focus matrices omitted.
VERSION -1073739260 0 0 0
REFOCUS_CASE kind/mode 0 0 0 0
ENTER kind/msg/state/clicks 0 8 12 0
ENTER kind/msg/state/clicks 0 243 12 0
LEAVE kind/msg/state/clicks 0 243 8 0
CLICK kind/state/capture/count 0 8 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 0 1 8 8
LEAVE kind/msg/state/clicks 0 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 0 1 0 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 0 0 1 0
REFOCUS_CASE kind/mode 0 1 0 0
ENTER kind/msg/state/clicks 0 8 4 0
ENTER kind/msg/state/clicks 0 243 4 0
LEAVE kind/msg/state/clicks 0 243 0 0
CLICK kind/state/capture/count 0 0 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 0 1 0 8
LEAVE kind/msg/state/clicks 0 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 0 0 1 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 0 8 1 0
REFOCUS_CASE kind/mode 1 0 0 0
ENTER kind/msg/state/clicks 1 8 12 0
ENTER kind/msg/state/clicks 1 243 12 0
LEAVE kind/msg/state/clicks 1 243 8 0
CLICK kind/state/capture/count 1 8 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 1 1 8 8
LEAVE kind/msg/state/clicks 1 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 1 1 0 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 1 0 1 0
REFOCUS_CASE kind/mode 1 1 0 0
ENTER kind/msg/state/clicks 1 8 4 0
ENTER kind/msg/state/clicks 1 243 4 0
LEAVE kind/msg/state/clicks 1 243 0 0
CLICK kind/state/capture/count 1 0 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 1 1 0 8
LEAVE kind/msg/state/clicks 1 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 1 0 1 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 1 8 1 0
